Name,English,weight from,weight to,span from,span to,max age,IUCN,size cat,box,food,food shape
Myotis mystacinus,Whiskered bat,3,10,19,23,19,LC,S,small,20,partial
Pipistrellus pipistrellus,Common Pipistrelle,3,8,18,24,16,LC,S,small,20,partial
Myotis alcathoe,Myotis alcathoe,3.5,6,20,20,,DD,XS,small,18,partial
Pipistrellus pygmaeus,Soprano Pipistrelle,4,8,19,23,8,NT,S,small,20,partial
Rhinolophus hipposideros,Lesser horseshoe bat,4,10,19,25,22,EN,S,small,20,partial
Hypsugo savii,Savi's Pipistrelle,4.5,11,22,25,,NT,S,small,20,partial
Myotis brandtii,Brandt's bat,4.5,10,19,26,42,VU,S,small,20,partial
Myotis emarginatus,Geoffroy's Bat,4.5,10.5,22,25,16,EN,S,small,20,partial
Myotis nattereri,Natterer's bat,4.5,12.5,25,30,17,NT,S,small,20,partial
Pipistrellus nathusii,Nathusius's Pipistrelle,4.5,12,22,25,14,LC,S,small,20,partial
Myotis crypticus,Cryptic Myotis,5,12,25,30,,DD,S,small,20,partial
Pipistrellus kuhlii,Kuhl's Pipistrelle,5,10,21,26,8,LC,S,small,20,partial
Plecotus auritus,Brown Long-eared Bat,5,12,25,30,31,VU,S,small,20,partial
Myotis bechsteinii,Bechstein's bat,5.5,12,25,29,21,VU,S,small,20,partial
Barbastella barbastellus,Western barbastelle bat,6,14,24,29,23,EN,S,small,20,partial
Plecotus austriacus,Grey long-eared bat,6,14,24,30,14,CR,S,small,20,partial
Plecotus macrobullaris,Alpine long-eared bat,6,10,24,30,,EN,S,small,20,partial
Myotis capaccinii,Long-fingered bat,7,12,23,26,,DD,S,small,20,partial
Myotis daubentonii,Daubenton's bat,7,15,24,28,20,NT,S,small,20,partial
Vespertilio murinus,Parti-coloured bat,7.5,18,26,33,12,VU,S,small,20,full
Eptesicus nilssonii,Eptesicus nilssonii,8,13,24,28,21,VU,S,small,20,partial
Nyctalus leisleri,Leisler's bat,8,22,26,34,11,NT,M,medium,25,full
Miniopterus schreibersii,Schreibers's bent-winged bat,10,16,30,34,16,EN,M,medium,25,full
Eptesicus serotinus,Serotine Bat,11,35,31,38,24,VU,M,medium,25,full
Rhinolophus ferrumequinum,Greater horseshoe bat,13,34,33,40,30,CR,M,medium,25,full
Myotis blythii,Lesser mouse-eared bat,15,30,35,40,33,CR,M,medium,25,full
Nyctalus noctula,Noctule,16,45,32,45,12,NT,M,medium,25,full
Myotis myotis,Greater mouse-eared bat,20,40,35,45,22,VU,L,large,30,full
Tadarida teniotis,European free-tailed bat,22,55,40,45,13,NT,L,large,30,full
Nyctalus lasiopterus,Greater Noctule,33,60,41,46,,DD,L,large,30,full
unknown,,,,,,,,,,,
